Date;Open;High;Low;Close;Volume
2024-03-29;3,4345;3,5075;3,27;3,444;139201
2024-02-29;3,4405;3,4405;3,27;3,393;84162
2024-01-31;3,273;3,465;3,267;3,4125;258880
2023-12-29;3,494;3,533;3,206;3,298;186964
2023-11-30;3,9785;3,998;3,4465;3,4735;169786
2023-10-31;4,105;4,135;3,8;3,9745;276873
2023-09-29;3,8175;4,2255;3,8175;4,11;464612
2023-08-31;3,661;3,842;3,57;3,7805;153344
2023-07-31;3,2425;3,6315;3,216;3,6315;160498
2023-06-30;3,084;3,284;3,0575;3,251;20662
2023-05-31;3,2495;3,3215;2,95;3,123;222885
2023-04-28;3,4705;3,52;3,202;3,2755;373415
2023-03-31;3,7185;3,8105;3,1715;3,3435;233409
2023-02-28;3,7425;3,7425;3,4295;3,6665;200544
2023-01-31;4,1975;4,2035;3,6685;3,74;342686
2022-12-30;4,8935;4,8935;4,1075;4,144;186686
2022-11-30;5,108;5,552;4,5135;4,8655;124317
2022-10-31;5,064;5,6;4,876;5,132;44324
2022-09-30;5,694;5,826;4,9535;5,012;332660
2022-08-31;5,52;6,12;5,12;5,712;249395
2022-07-29;5,054;5,86;4,6995;5,708;237080
2022-06-30;5,745;6,245;5,114;5,121;480869
2022-05-31;5,233;5,88;4,97;5,791;531810
2022-04-29;4,312;5,249;4,312;5,203;298039
2022-03-31;3,7925;4,95;3,7925;4,475;702561
2022-02-28;3,5555;4,003;3,333;3,718;197962
2022-01-31;2,933;3,61;2,8795;3,536;851427
2021-12-31;2,838;3,019;2,7;2,9435;215153
2021-11-30;3,3465;3,3585;2,8;2,83;311270
2021-10-29;3,22;3,47;3,06;3,3235;678189
2021-09-30;2,7435;3,2815;2,7;3,2;517873
2021-08-31;2,707;2,7365;2,462;2,7275;165830
2021-07-30;2,66;2,73;2,5115;2,7185;270914
2021-06-30;2,345;2,658;2,345;2,617;251652
2021-05-31;2,279;2,371;2,2185;2,321;214746
2021-04-30;2,179;2,2885;2,098;2,2515;145739
2021-03-31;2,21;2,34;2,103;2,2005;330859
2021-02-26;1,929;2,2325;1,929;2,193;442367
2021-01-29;1,8138;1,9574;1,7568;1,9054;143625
2020-12-31;1,783;1,8136;1,6812;1,7348;84718
2020-11-30;1,684;1,8062;1,6278;1,783;46573
2020-10-30;1,74;1,811;1,63;1,6794;41493
2020-09-30;1,889;1,896;1,69;1,7222;65622
2020-08-31;1,8148;1,9302;1,8148;1,8688;259212
2020-07-31;1,738;1,8506;1,6984;1,6984;41753
2020-06-30;1,6936;1,8292;1,6686;1,75;78582
2020-05-29;1,5744;1,7736;1,57;1,6532;57206
2020-04-30;1,6;1,9128;1,433;1,5704;301060
2020-03-31;2,5345;2,678;1,615;1,6516;178241
2020-02-28;2,8575;3,077;2,52;2,526;150085
2020-01-31;3,313;3,44;2,85;2,8505;92273
2019-12-31;3,1625;3,361;3,146;3,337;15785
2019-11-29;3,192;3,36;3,174;3,174;132075
2019-10-31;3,2005;3,258;3,012;3,153;14761
2019-09-30;3,1325;3,5625;3,07;3,218;20680
2019-08-30;3,225;3,225;2,872;3,1015;88862
2019-07-31;3,2635;3,379;3,107;3,2695;18172
2019-06-28;3,115;3,25;2,979;3,2345;41978
2019-05-31;3,4835;3,6085;3,2105;3,2105;13251
2019-04-30;3,465;3,65;3,461;3,562;8253
2019-03-29;3,307;3,44;3,307;3,413;2586
2019-02-28;3,155;3,348;3,0955;3,3345;57393
2019-01-31;2,863;3,31;2,863;3,205;160962
2018-12-31;3,6535;3,665;2,962;2,962;87644
2018-11-30;3,737;3,85;3,45;3,5445;125377
2018-10-31;3,922;4,1265;3,7855;3,811;227754
2018-09-28;3,7185;3,9045;3,5945;3,9045;82707
2018-08-31;3,529;3,728;3,505;3,728;108788
2018-07-31;3,717;3,717;3,431;3,574;53819
2018-06-29;3,6155;3,729;3,4855;3,729;207563
2018-05-31;3,397;3,735;3,3815;3,6575;447119
2018-04-30;3,2305;3,41;3,1185;3,4025;219695
2018-03-30;3,0705;3,207;3,022;3,207;380405
2018-02-28;3,24;3,2415;2,917;3,1005;186263
2018-01-31;3,2055;3,3615;3,2015;3,2425;392493
2017-12-29;3,181;3,24;3,042;3,228;103589
2017-11-30;3,1525;3,4;3,115;3,144;261564
2017-10-31;2,95;3,14;2,9;3,12;485701
2017-09-29;2,86;3,0625;2,8125;2,9975;363489
2017-08-31;2,8025;2,88;2,74;2,84;200799
2017-07-31;2,815;2,8775;2,7225;2,84;161327
2017-06-30;3,015;3,015;2,71;2,785;644986
2017-05-31;3,135;3,2075;2,9675;2,9675;494439
2017-04-28;3,36;3,5125;3,1525;3,1875;221166
