Date;Open;High;Low;Close;Volume
2024-03-29;4,9855;5,151;4,9475;5,151;1422
2024-02-29;5,085;5,213;4,993;5,116;87744
2024-01-31;4,682;5,107;4,5975;5,076;21963
2023-12-29;5,044;5,044;4,574;4,574;8980
2023-11-30;5,118;5,143;4,9235;5,01;11119
2023-10-31;4,931;5,16;4,8175;5,088;159279
2023-09-29;4,7635;5,066;4,7635;4,844;72425
2023-08-31;4,6285;4,7305;4,473;4,719;5190
2023-07-31;4,4335;4,663;4,3555;4,5755;41907
2023-06-30;4,9;5,03;4,3405;4,435;38550
2023-05-31;4,771;5;4,7215;4,851;5348
2023-04-28;4,406;4,8905;4,3615;4,82;13037
2023-03-31;4,414;4,4875;4,2145;4,362;1823
2023-02-28;4,251;4,4975;4,204;4,444;1884
2023-01-31;4,0635;4,303;3,8125;4,303;14427
2022-12-30;4,1025;4,2195;3,9875;4,0485;599
2022-11-30;4,1715;4,307;3,9825;4,1675;4048
2022-10-31;4,458;4,725;3,936;4,055;10411
2022-09-30;4,7865;4,8;4,4775;4,564;5450
2022-08-31;4,2465;5;4,2465;4,809;49035
2022-07-29;4,4015;4,5505;4,2495;4,3735;14204
2022-06-30;4,751;4,7695;4,283;4,4665;47518
2022-05-31;4,75;4,8775;4,52;4,692;176916
2022-04-29;4,4875;4,7665;4,4875;4,7665;86010
2022-03-31;4,221;4,4805;4,182;4,461;94354
2022-02-28;4,2485;4,3845;4,1455;4,1455;162786
2022-01-31;4,0345;4,3215;4,0345;4,2195;196716
2021-12-31;4,0935;4,277;3,986;4,08;48895
2021-11-30;3,885;4,392;3,8735;4,072;125700
2021-10-29;3,771;3,9595;3,6765;3,8195;65138
2021-09-30;3,6645;3,758;3,4915;3,7505;51924
2021-08-31;3,361;3,7035;3,28;3,6515;142305
2021-07-30;3,204;3,6535;3,039;3,394;683902
2021-06-30;3,096;3,1675;3,0005;3,1675;106300
2021-05-31;2,9915;3,13;2,9145;3,0775;315093
2021-04-30;2,68;3,056;2,6765;2,9535;94887
2021-03-31;2,9775;2,9775;2,7085;2,7085;102651
2021-02-26;2,727;3;2,7255;2,948;34613
2021-01-29;2,6745;2,7995;2,627;2,661;89143
2020-12-31;2,522;2,6075;2,4685;2,6075;2248
2020-11-30;2,503;2,6485;2,4735;2,5435;78003
2020-10-30;2,401;2,529;2,3805;2,4785;130242
2020-09-30;2,527;2,5365;2,374;2,42;84103
2020-08-31;2,484;2,52;2,408;2,497;113103
2020-07-31;2,397;2,4325;2,2635;2,4325;246996
2020-06-30;2,2905;2,38;2,2675;2,3375;26597
2020-05-29;2,3325;2,5;2,2375;2,2375;10510
2020-04-30;2,346;2,45;2,2515;2,3135;8139
2020-03-31;2,7495;2,7745;2,369;2,3955;1360000
2020-02-28;2,7175;2,935;2,6875;2,7045;386588
2020-01-31;2,859;2,859;2,7255;2,7255;1300000
