Date;Open Price;High Price;Low Price;Last Price;SXXPIEX IM Equity (EUR) - Volume
29/03/2024;49,16;50,89;49,025;50,83;388942
29/02/2024;47,865;49,21;47,625;48,98;360896
31/01/2024;47,48;48,19;46;48,04;520100
29/12/2023;45,925;47,655;45,88;47,24;366284
30/11/2023;43,075;45,775;42,95;45,74;357727
31/10/2023;44,475;45,12;42,4;42,895;460697
29/09/2023;45,695;46,025;43,895;44,465;315062
31/08/2023;46,83;46,83;44,395;45,725;788075
31/07/2023;46;46,98;44,215;46,875;1060000
30/06/2023;45,6;46,78;44,675;45,865;667738
31/05/2023;46,485;47,13;45,255;45,255;617099
28/04/2023;45,4;46,685;45,14;46,44;595999
31/03/2023;45,69;46,085;42,335;45,315;1190000
28/02/2023;44,955;46,2;44,715;45,64;671863
31/01/2023;42,425;45,385;42,42;44,82;465900
30/12/2022;43,96;44,2;41,835;41,91;397205
30/11/2022;41,185;43,7;40,13;43,58;409006
31/10/2022;37,88;40,73;37,535;40,73;285707
30/09/2022;41,055;42,855;37,57;38,295;483268
31/08/2022;43,61;44,215;41,36;41,36;297188
29/07/2022;40;43,665;39,74;43,6;297463
30/06/2022;44,65;44,86;39,75;40,4;501330
31/05/2022;44,45;44,945;41,685;44,39;685922
29/04/2022;45,25;46,11;43,485;44,8;391277
31/03/2022;44,66;45,91;40,07;45,2;1260000
28/02/2022;46,815;47,32;42,89;44,725;812021
31/01/2022;48,295;48,905;44,92;46,27;402108
31/12/2021;46,325;48,395;45,555;48,245;550084
30/11/2021;47,22;48,655;45,68;46,04;741924
29/10/2021;44,375;47,19;44,23;47,125;1690000
30/09/2021;47,2;47,33;44,595;45,155;824438
31/08/2021;46,2;47,35;45,92;46,79;901027
30/07/2021;45,42;46,04;43,855;45,84;331869
30/06/2021;45,015;46,095;44,55;45,045;1020000
31/05/2021;43,64;45,05;42,78;44,695;1310000
30/04/2021;42,62;44,04;42,62;43,48;1520000
31/03/2021;40,625;42,74;40,365;42,585;593157
26/02/2021;39,39;41,515;39,39;39,965;804516
29/01/2021;39,85;40,87;38,915;39,105;1400000
31/12/2020;38,805;39,87;37,68;39,58;846439
30/11/2020;33,875;39,02;33,76;38,545;1040000
30/10/2020;35,86;36,88;33,465;33,895;1360000
30/09/2020;36,685;37,355;34,69;35,69;659925
31/08/2020;35,43;37,295;35,28;36,325;1400000
31/07/2020;35,7;37,66;35,31;35,47;1310000
30/06/2020;35,4;37,425;34,1;35,695;2110000
29/05/2020;32,575;35,465;32,155;34,835;1530000
30/04/2020;30,94;34,725;30,37;33,65;2330000
31/03/2020;37,65;38,45;26,6;31,71;2060000
28/02/2020;40,585;42,82;36,71;37,03;1200000
31/01/2020;41,15;41,965;40,49;40,535;1130000
31/12/2019;40,3;41,525;39,38;41,06;1230000
29/11/2019;39,34;40,61;39,34;40,355;1070000
31/10/2019;38,9;39,52;36,94;39,31;2450000
30/09/2019;37,935;39,165;37,71;38,8;1320000
30/08/2019;38,25;38,665;36,34;37,775;2180000
31/07/2019;38,76;39,265;38,275;38,37;2330000
28/06/2019;36,845;38,55;36,75;38,29;1570000
31/05/2019;38,865;38,89;36,8;37,06;1640000
30/04/2019;37,735;38,94;37,73;38,92;1260000
29/03/2019;37,175;38;36,6;37,465;2280000
28/02/2019;35,415;36,91;35,225;36,83;2280000
31/01/2019;33,14;35,525;32,635;35,355;2040000
31/12/2018;35,7;36,07;32,29;33,135;1750000
30/11/2018;35,675;36,715;34,555;35,305;924049
31/10/2018;37,82;37,975;34,46;35,695;1540000
28/09/2018;38,06;38,205;37,06;37,835;904480
31/08/2018;38,91;38,91;37,755;38,06;832963
31/07/2018;37,275;38,94;37,215;38,935;660240
29/06/2018;38,575;39,455;37,18;37,76;2390000
31/05/2018;38,285;39,73;38,155;38,345;1770000
30/04/2018;36,525;38,275;35,955;38,24;1050000
30/03/2018;37,18;37,45;35,7;36,625;2350000
28/02/2018;39,215;39,22;36;37,31;4410000
31/01/2018;38,545;39,765;37,9;38,855;1990000
29/12/2017;38,235;38,7;37,8;38,035;2560000
30/11/2017;38,99;39,16;37,405;38,125;1030000
