Date;Open Price;High Price;Low Price;Last Price;CSX5 LN Equity (EUR) - Volume
29/03/2024;176,46;184,06;175,94;183,72;106036
29/02/2024;166,98;176,4;166,87;176,27;89090
31/01/2024;164,04;168,26;157,74;167,43;44637
29/12/2023;158,32;165,04;158,32;162,84;199475
30/11/2023;146,44;157,8;145,72;157,53;181808
31/10/2023;150,48;151,46;143,9;145,67;39089
29/09/2023;154,42;155;147,84;150,09;53157
31/08/2023;159,94;159,94;149,76;154,38;95904
31/07/2023;158;160,6;150,46;160,36;128526
30/06/2023;151,78;157,8;151,52;157,54;268007
31/05/2023;154,62;157,14;150,44;150,74;124746
28/04/2023;151,32;155,1;150,58;153,59;94558
31/03/2023;148,96;151,64;140,66;151,34;353150
28/02/2023;145,92;150,51;145,54;148,58;153101
31/01/2023;134,82;146,7;134,82;145,72;144713
30/12/2022;139,38;140,64;131,54;133,16;104244
30/11/2022;127,08;138,42;124,38;138,28;434082
31/10/2022;114,1;126,14;113,76;126,07;192981
30/09/2022;120,76;128,02;113,12;115,46;218781
31/08/2022;129,3;132,74;122,36;122,36;75233
29/07/2022;118,72;129;116,48;128,76;96572
30/06/2022;131,26;133,72;118,76;119,74;143677
31/05/2022;128,84;133,48;121,61;131,14;183725
29/04/2022;133,18;134,58;125,76;129,7;287057
31/03/2022;132,62;136,88;115,24;132,77;747097
28/02/2022;142,68;144,38;127,88;133,16;248659
31/01/2022;147,68;148,94;137,1;140,84;172641
31/12/2021;138,78;146;137,1;145,31;144129
30/11/2021;144,64;149,3;136,34;137,99;244475
29/10/2021;134,92;143,73;134,1;143,73;112046
30/09/2021;142,44;143;135,94;137,41;157458
31/08/2021;138,78;142,76;137,48;140,84;260538
30/07/2021;138,24;138,74;131,7;137,76;333363
30/06/2021;136,4;139,98;136,16;136,76;102014
31/05/2021;133,62;136,98;129,38;136,78;288858
30/04/2021;130,64;134,22;130,36;132,58;272902
31/03/2021;122,24;130,51;121,57;130,07;104350
26/02/2021;116,62;123,9;116,54;120,21;256702
29/01/2021;119,1;120,86;114,98;115,41;240814
31/12/2020;116;118,6;112,7;117,78;147104
30/11/2020;98,06;116,83;98,06;115,79;305390
30/10/2020;105,92;109,06;96,83;97,88;185965
30/09/2020;108,66;112,06;102,34;105,74;359143
31/08/2020;105,08;111,22;104,68;109,39;746510
31/07/2020;107,24;113,72;104,52;105,26;577598
30/06/2020;101,68;110,88;100,02;106,22;628196
29/05/2020;93,28;101,58;88,5;99,8;506038
30/04/2020;87,35;97,9;85,13;94,785;455895
31/03/2020;109,68;111,18;75,2;90,275;688229
28/02/2020;117,92;125,01;106,66;107,74;203225
31/01/2020;122,22;123,12;117,79;117,79;255996
31/12/2019;120,14;122,68;116,08;120,51;199233
29/11/2019;116,4;120,36;116,4;119,58;205522
31/10/2019;114,96;117,08;109,4;116,64;175925
30/09/2019;110,1;115,04;109,66;114,95;300198
30/08/2019;111,92;112,12;104,12;110,01;214119
31/07/2019;112,88;114,4;111,24;111,44;333821
28/06/2019;104,36;112,1;104,12;111,6;667888
31/05/2019;111;111,16;104,62;105,12;110054
30/04/2019;106,12;110,78;106;110,78;112019
29/03/2019;104,06;106,98;102,74;105,16;379141
28/02/2019;99,26;103,41;98,11;103,41;167353
31/01/2019;92,34;99,29;92,34;98,925;377026
31/12/2018;101,18;101,18;90,93;94,12;189664
30/11/2018;100,1;101,54;96,85;98,905;283980
31/10/2018;106,4;106,8;96,57;99,91;652628
28/09/2018;105,5;107,64;102,2;106,07;276617
