Date;Open Price;High Price;Low Price;Last Price;SXRQ GR Equity (EUR) - Volume
29/03/2024;145,23;148,36;144,96;147,44;
29/02/2024;147,61;148,49;144,415;145,81;538
31/01/2024;148,44;149,65;145,505;147,92;1470
29/12/2023;142,98;150,61;142,96;148,9;4300
30/11/2023;138,38;143,785;137,96;142,97;15281
31/10/2023;137,17;139,14;135,59;138,38;640
29/09/2023;141,47;142,17;135,985;137,47;700
31/08/2023;140,84;142,06;138,52;141,77;2361
31/07/2023;141,46;143,08;138,37;141,18;1736
30/06/2023;142,15;142,9;139,73;141,43;450
31/05/2023;141,06;142,9;138,66;142,22;856
28/04/2023;141,26;143,49;138,78;141,4;1470
31/03/2023;136,82;144,64;135,14;141,51;388
28/02/2023;140,92;144,15;136,67;137,32;1002
31/01/2023;136,42;145,03;136,42;140,81;1098
30/12/2022;144,04;146,41;135,9;137,265;4243
30/11/2022;140,775;145,84;137,84;144,07;125
31/10/2022;140,03;144,44;135,87;140,78;497
30/09/2022;146,63;147,64;137,115;140,03;
31/08/2022;155,82;157,88;146,12;146,63;290
29/07/2022;149,24;155,97;147,47;155,82;10
30/06/2022;151,59;152,11;141,72;149,07;66
31/05/2022;154,08;155,585;150,72;151,62;370
29/04/2022;160,29;160,9;154,075;154,08;
31/03/2022;165,17;169,09;158,54;160,29;10
28/02/2022;168,25;169,1;162,43;165,26;1224
31/01/2022;170,82;171,34;168,2;168,27;528
31/12/2021;173,32;174,36;170,03;171,04;268
30/11/2021;169,69;174,1;169,34;173,37;324
29/10/2021;172,54;173,21;169,68;170,08;472
30/09/2021;174,66;175,18;172,05;172,45;250
31/08/2021;175,8;176,94;174,685;174,69;86
30/07/2021;172,63;175,94;172,34;175,8;2700
30/06/2021;171,89;173,63;171,48;172,65;400
31/05/2021;171,93;172,7;169,79;171,88;318
30/04/2021;173,56;174,26;171,66;171,94;8
31/03/2021;172,79;174,91;172,58;173,56;1776
26/02/2021;176,03;176,285;171,85;172,82;496
29/01/2021;176,76;177,32;175,25;176,02;162
31/12/2020;176,54;177,6;175,58;176,56;644
30/11/2020;176,34;177,23;174,91;176,42;681
30/10/2020;174,9;176,78;174,07;176,29;361
30/09/2020;172,67;175,29;172,3;174,77;337
31/08/2020;173,92;174,75;172,55;172,57;314
31/07/2020;172,28;174,5;170,49;173,86;1632
30/06/2020;168,68;172,77;168,68;172,3;410
29/05/2020;170,07;171,03;167,89;170,7;78
30/04/2020;170,04;170,6;164,95;169,68;76
31/03/2020;174,16;175,28;158,4;169,18;2564
28/02/2020;173,53;174,63;172,01;174,09;527
31/01/2020;169,2;173,64;168,81;173,64;450
31/12/2019;170,67;171,59;169,2;169,63;938
29/11/2019;172,96;173,315;169,49;171,02;794
31/10/2019;174,49;175,73;171,555;172,85;21
30/09/2019;175,4;176,24;172,18;174,61;100
30/08/2019;171,71;175,87;171,27;175,39;1368
31/07/2019;168,83;172,48;168,48;171,77;66
28/06/2019;165,43;169,48;165,2;168,77;115
31/05/2019;163,85;166,04;163,21;165,9;4312
30/04/2019;163,91;164,635;162,5;163,94;1572
29/03/2019;160,8;164,5;160,4;163,95;39
28/02/2019;161,15;161,59;159,8;160,68;351
31/01/2019;159,01;161,29;158,02;161,15;33
31/12/2018;157,66;159,35;157,13;159,03;25
30/11/2018;156,11;157,64;155,51;157,35;155
31/10/2018;156,28;156,62;153,85;156,2;78
28/09/2018;156,75;157,805;155,56;156,26;278
31/08/2018;156,84;158,17;156,25;156,7;120
31/07/2018;157,94;159,02;156,64;157,37;528
29/06/2018;156,33;158,32;154,56;157,78;
31/05/2018;158,07;159,25;155,29;156,55;158
30/04/2018;159,36;159,56;157,4;158,61;8
30/03/2018;156,16;159,44;156,09;159,27;849
28/02/2018;155,75;156,45;154,99;155,96;884
31/01/2018;157,33;157,78;155,72;155,78;669
29/12/2017;158,57;159,72;157,26;157,37;730
30/11/2017;157,88;159,04;157,38;158,48;133
31/10/2017;156,17;158,05;155,08;157,02;114
29/09/2017;156,81;158,03;155,39;155,96;68
31/08/2017;155,3;156,97;155,18;156,76;
31/07/2017;154,74;155,87;153,1;155,2;22
30/06/2017;155,7;157,68;154,74;154,74;490
31/05/2017;154,42;155,98;153,54;155,5;150
28/04/2017;153,46;154,72;153,07;154,46;120
31/03/2017;154;154,13;150,98;153,47;
28/02/2017;152,1;154,38;151,53;154,02;60
31/01/2017;155,62;156,41;151,53;152,11;290
30/12/2016;153,76;156,19;152,59;155,86;2965
30/11/2016;156,61;157,39;152,61;153,76;594
31/10/2016;159,73;160,13;156,59;156,61;144
30/09/2016;159,5;160,66;158,03;160,14;3314
31/08/2016;159,68;160,51;158,61;159,51;2593
29/07/2016;157,97;159,9;157,91;159,68;557
30/06/2016;155,53;158,52;154,75;157,78;294
31/05/2016;153,78;155,96;153,71;155,38;2208
29/04/2016;155,52;156,06;153,37;153,78;
31/03/2016;154,82;155,83;153,28;155,51;222
29/02/2016;153,49;154,86;151,88;154,63;183
29/01/2016;150,34;153,39;148,84;153,35;486
31/12/2015;151,88;152,46;148,55;150,08;4757
30/11/2015;150,69;152,36;148,14;151,97;
30/10/2015;148,785;151,88;148,32;150,62;8
30/09/2015;145,46;148,81;145,46;148,585;400
31/08/2015;147,9;148,54;145,9;146,01;90
31/07/2015;144,22;147,99;143,41;147,79;195
30/06/2015;147,66;147,96;142,18;144,17;496
29/05/2015;150,67;150,67;145,38;147,93;2181
30/04/2015;151,96;152,93;149,98;150,33;85
31/03/2015;151,36;153,28;150,12;152,17;933
27/02/2015;150,06;151,48;148,52;151,14;790
30/01/2015;147,96;151,24;147,33;149,99;7292
31/12/2014;145,82;147,54;145,27;147,48;1380
28/11/2014;143,61;145,82;142,76;145,8;94
31/10/2014;142,87;144;142,18;143,56;6160
30/09/2014;142,6;143,15;141,11;142,82;130
29/08/2014;139,7;142,88;139,09;142,4;2477
31/07/2014;138,02;140,01;137,32;139,46;4140
30/06/2014;136,27;138,35;135,39;138,03;179
30/05/2014;134,42;136,45;134,13;136,05;147
30/04/2014;132,73;134,42;132,17;134,38;3734
31/03/2014;131,26;133,25;131,22;132,67;2024
28/02/2014;130,03;131,9;129,82;131,2;200
31/01/2014;126,39;130,23;126,39;130,13;
31/12/2013;127,97;127,97;126,04;126,38;
29/11/2013;127,45;127,97;126,87;127,83;100
31/10/2013;124,99;127,7;124,99;127,42;
30/09/2013;123,73;125,22;122,4;125,04;
30/08/2013;125;125,48;123,33;123,63;
31/07/2013;123,38;125,56;123,38;124,71;
28/06/2013;126,02;126,21;121,73;123,48;
31/05/2013;128,06;129,05;125,95;125,97;
30/04/2013;124,43;128,42;124,43;128,01;
29/03/2013;123,28;124,95;123,21;124,32;
28/02/2013;122,45;123,82;121,96;123,39;
31/01/2013;123,69;123,8;122,31;122,67;
31/12/2012;122,84;123,69;122,04;123,52;
30/11/2012;120,46;123,01;120,41;122,94;
31/10/2012;119,24;120,84;119,24;120,53;
28/09/2012;116,77;119,44;116,67;119,44;
31/08/2012;116,1;117,57;115,71;116,82;
31/07/2012;114,14;116,53;113,84;116,39;
29/06/2012;114,71;115,79;112,31;114,13;
31/05/2012;113,44;115,19;112,59;114,71;
