Date;Open Price;High Price;Low Price;Last Price;CSJP SW Equity (EUR) - Volume
29/03/2024;185,2119;190,8639;180,7327;188,1723;18611
29/02/2024;174,6292;182,2518;174,2472;182,2035;7370
31/01/2024;165,2883;175,3142;165,0278;175,3142;4796
29/12/2023;162,9828;165,4416;161,5616;165,4416;4418
30/11/2023;159,0614;162,6885;156,7505;161,4305;34650
31/10/2023;161,5375;161,5375;153,0523;156,6578;5163
29/09/2023;161,635;167,267;160,871;160,871;5783
31/08/2023;158,6993;159,8529;152,8772;159,8529;1585
31/07/2023;160,1948;162,5632;156,5173;162,5632;1756
30/06/2023;157,2941;166,8067;156,6028;158,9674;12721
31/05/2023;147,3733;158,1732;147,3733;156,0095;1845
28/04/2023;150,6215;150,6215;147,6897;148,3913;1987
31/03/2023;147,1582;153,0983;144,7378;150,581;7314
28/02/2023;149,7429;152,0841;146,8907;148,1185;13440
31/01/2023;145,605;151,0556;142,1544;149,2977;21249
30/12/2022;149,8139;149,8139;142,5116;143,0609;13801
30/11/2022;141,3495;150,8631;141,3495;148,6397;6008
31/10/2022;141,2393;143,6819;137,9911;140,8978;970
30/09/2022;148,454;148,454;140,1542;140,2024;15092
31/08/2022;153,7759;156,6983;149,5421;149,5421;1279
29/07/2022;140,9341;152,8658;140,2803;152,8658;7081
30/06/2022;150,7093;150,7093;137,4859;140,3291;12811
31/05/2022;148,312;149,963;144,6008;148,449;5046
29/04/2022;154,5627;155,4357;146,2027;150,8413;5852
31/03/2022;156,9656;157,1906;146,0047;155,1078;46331
28/02/2022;156,9758;158,5618;151,3507;155,0619;4322
31/01/2022;164,1088;166,6266;154,6721;155,9254;4153
31/12/2021;162,6525;166,9054;160,7894;163,9732;5983
30/11/2021;163,5445;169,4322;159,0371;159,0371;35376
29/10/2021;163,5791;163,5791;158,5737;161,5287;3261
30/09/2021;160,0762;171,0676;160,0762;166,3083;11315
31/08/2021;157,4957;159,3338;154,8977;158,2698;8042
30/07/2021;155,0084;158,7376;152,9547;154,7696;8900
30/06/2021;151,8697;157,7751;151,8398;155,511;6808
31/05/2021;152,7661;154,9258;148,1534;151,6447;3822
30/04/2021;157,8897;158,7961;152,1736;152,1736;6591
31/03/2021;155,8638;160,8132;152,6338;158,4328;19206
26/02/2021;151,5998;161,8768;151,4657;153,3068;8945
29/01/2021;149,2251;156,1848;148,0443;149,8008;12243
31/12/2020;146,8741;149,6249;144,1964;149,6249;13730
30/11/2020;135,7862;149,3464;135,7862;146,7815;12410
30/10/2020;135,8168;136,926;133,7796;133,7796;24332
30/09/2020;131,2792;137,3205;131,2792;136,3354;21203
31/08/2020;125,6367;133,0851;125,6367;130,9108;24337
31/07/2020;130,6386;134,7691;124,0425;124,0425;13505
30/06/2020;133,9314;136,6325;130,9284;132,5461;6669
29/05/2020;123,4492;135,8074;123,4406;133,0408;12336
30/04/2020;117,0835;132,0787;116,1274;127,4911;28122
31/03/2020;126,6231;129,8171;105,0399;121,4846;62926
28/02/2020;140,9324;147,1503;126,0056;126,0056;32245
31/01/2020;143,0726;146,2249;140,3357;140,3357;17458
31/12/2019;143,8452;145,3788;141,5097;142,8611;14275
29/11/2019;139,644;144,3235;139,644;143,0361;47275
31/10/2019;138,5077;139,4558;133,975;139,2802;39508
30/09/2019;130,1018;138,5139;129,9417;137,1909;62807
30/08/2019;129,6943;129,7365;124,8272;129,6673;43665
31/07/2019;130,0551;131,1905;127,5734;130,2229;13395
28/06/2019;123,8599;129,6325;123,7093;127,3534;24286
31/05/2019;129,6348;130,664;123,7086;124,5191;19517
30/04/2019;129,4598;130,3963;127,375;129,7614;63901
29/03/2019;125,395;128,3458;123,8693;128,026;29471
28/02/2019;123,4259;127,5562;122,6351;124,9647;17942
31/01/2019;116,9125;124,6239;116,9125;124,2467;17394
31/12/2018;129,1121;129,1121;115,0468;116,8144;43497
30/11/2018;124,7358;127,6393;123,6546;127,0535;24756
31/10/2018;136,7475;136,7475;122,5993;126,4177;14587
28/09/2018;130,2446;135,102;127,581;135,102;31157
31/08/2018;131,2938;132,2213;129,115;130,554;14584
31/07/2018;128,1748;133,3525;125,766;130,4199;22602
29/06/2018;132,947;134,6996;129,6945;129,7486;16130
31/05/2018;130,4105;134,7555;129,9284;132,3768;37925
30/04/2018;126,124;130,7422;125,3259;130,7422;21558
30/03/2018;127,9474;128,2406;122,5542;126,8494;44718
28/02/2018;131,7318;131,7318;123,6418;130,9143;102996
31/01/2018;130,7039;136,2653;130,2523;131,0226;101279
29/12/2017;129,0126;131,9587;128,6666;129,2857;22309
30/11/2017;130,8334;133,1903;128,1099;128,9526;91134
31/10/2017;121,7998;129,4821;122,0655;128,8681;53105
29/09/2017;118,5363;121,9062;116,8972;121,0905;111868
31/08/2017;119,6185;120,4949;115,662;118,5076;39335
31/07/2017;120,6941;121,4128;118,9702;119,282;49368
30/06/2017;122,38;125,0975;120,6628;120,772;40835
31/05/2017;122,7748;123,6552;120,0095;121,4781;61794
28/04/2017;124,3342;124,3342;120,6712;121,7613;236294
31/03/2017;125,4014;125,4014;121,073;122,8874;53616
28/02/2017;120,9694;125,3534;119,7767;124,0548;22025
31/01/2017;120,4711;123,0179;119,2732;120,1551;192444
30/12/2016;117,8567;123,4262;116,857;118,6716;165265
30/11/2016;116,1249;119,074;112,1751;117,9501;108235
31/10/2016;112,4531;116,7972;111,8082;116,0029;129118
30/09/2016;112,2215;115,8697;109,032;111,9457;50733
31/08/2016;109,32;112,3695;107,1908;111,038;74542
29/07/2016;104,515;110,7259;103,5068;109,5699;126529
30/06/2016;106,7213;106,7213;100,9912;104,1288;170279
31/05/2016;101,4663;107,0921;99,269;107,0921;128966
29/04/2016;98,4629;108,3456;95,6695;101,3063;188090
31/03/2016;101,122;105,6436;100,8152;100,8308;100882
29/02/2016;105,9741;105,9741;90,1065;101,6111;279199
29/01/2016;110,4215;112,7972;97,2164;105,1652;242901
31/12/2015;117,4249;118,0227;107,903;112,7528;174515
30/11/2015;111,0222;118,3422;111,0222;117,0044;155350
30/10/2015;103,0117;112,7171;102,3032;111,8152;185688
30/09/2015;102,4699;106,4947;98,4409;101,2069;136585
31/08/2015;117,3716;118,8869;97,6901;108,1204;72657
31/07/2015;116,0874;120,3055;111,7925;117,0911;501124
30/06/2015;118,8451;118,9331;110,7337;115,2713;212221
29/05/2015;115,1815;120,4582;111,2991;117,927;344955
30/04/2015;115,2064;122,6811;113,3963;114,6707;325158
31/03/2015;108,7403;118,6453;108,7403;116,333;958567
27/02/2015;101,2355;110,148;99,0465;109,3481;250590
30/01/2015;93,6183;102,6093;91,9846;101,6872;315975
31/12/2014;92,4463;94,1519;87,2558;92,3103;165292
28/11/2014;93,0085;94,5689;90,5837;92,3342;371298
31/10/2014;91,9931;94,7463;82,3535;94,4972;254093
30/09/2014;88,8799;92,3732;88,8288;91,7108;306643
29/08/2014;88,2912;89,3281;84,9875;88,4112;339059
31/07/2014;87,7596;89,838;85,7778;89,3257;263286
30/06/2014;84,161;87,9673;83,8568;86,9139;971245
30/05/2014;79,8468;83,3345;77,7456;83,3345;458658
30/04/2014;80,0674;82,605;76,3062;78,0782;450037
31/03/2014;81,1999;83,0803;77,3017;81,0931;472200
28/02/2014;83,0558;83,5473;78,9008;82,5681;612183
31/01/2014;85,4749;87,9617;82,1807;82,637;1330000
31/12/2013;86,1124;87,4255;82,5881;86,2352;248521
29/11/2013;84,6114;88,5821;84,1842;86,7443;444847
31/10/2013;85,6039;86,4145;82,4225;85,555;237931
30/09/2013;81,3391;87,6957;81,3391;85,3501;219829
30/08/2013;87,0772;87,176;80,1842;80,3769;459914
31/07/2013;84,9577;89,7561;81,1387;82,3415;369235
28/06/2013;80,8499;84,356;75,841;84,356;714210
31/05/2013;83,9399;93,4465;80,4045;82,17;1350000
30/04/2013;78,4669;86,9299;78,4669;85,9581;298131
29/03/2013;75,4474;82,3259;75,4474;81,4316;199139
28/02/2013;69,8514;76,1238;69,7955;75,5745;268445
31/01/2013;73,6294;73,6294;69,5671;70,9964;340998
31/12/2012;68,0125;71,2739;67,7247;70,7903;154944
30/11/2012;66,6743;69,2327;66,2789;68,4111;281002
31/10/2012;67,9968;68,4241;65,6502;66,9915;153203
28/09/2012;68,335;69,7639;66,7341;68,1253;141660
31/08/2012;71,1995;72,9276;68,6804;69,3913;103839
31/07/2012;71,196;73,3107;68,2429;70,5692;121495
29/06/2012;67,9207;71,0042;65,9543;71,0019;158832
31/05/2012;69,5459;69,6595;66,0145;68,2941;157200
