Date;Open Price;High Price;Low Price;Last Price;CSNKY SW Equity (EUR) - Volume
29/03/2024;244,32724;248,92368;233,96266;246,72566;51430
29/02/2024;224,46036;241,92534;224,00534;240,8494;24425
31/01/2024;211,7337;227,01425;209,25461;224,81023;14051
29/12/2023;207,56915;213,79701;205,06013;213,79701;7734
30/11/2023;197,72734;206,34979;196,94209;206,34979;11230
31/10/2023;201,81844;205,52577;191,28165;194,01227;6796
29/09/2023;204,93863;210,25702;199,84724;200,7961;8908
31/08/2023;205,61377;205,61377;195,88855;203,3829;5805
31/07/2023;211,41919;211,41919;203,71938;210,89105;16482
30/06/2023;206,77919;220,38301;204,04001;210,37001;21880
31/05/2023;192,31154;206,78865;190,25131;205,01898;25301
28/04/2023;192,94807;193,19073;189,01929;190,82692;1371
31/03/2023;186,1291;193,87962;184,60092;191,32727;4229
28/02/2023;190,03371;193,03671;185,57744;186,54529;6567
31/01/2023;184,46201;190,80568;180,16959;189,37907;9585
30/12/2022;194,3295;194,3295;180,51476;181,50746;9721
30/11/2022;185,51909;192,99516;183,67157;191,65967;3275
31/10/2022;181,31123;187,73178;178,32103;183,87146;11952
30/09/2022;193,22014;193,94273;179,4173;179,4173;4570
31/08/2022;200,23869;206,88902;195,21861;195,21861;3222
29/07/2022;180,21826;199,1743;179,43655;199,1743;6228
30/06/2022;192,35033;193,30722;177,90848;180,28044;6324
31/05/2022;189,75754;194,04543;184,1765;191,8674;9603
29/04/2022;199,30936;201,49478;188,59093;193,3853;24848
31/03/2022;203,76129;203,76129;186,86601;200,64909;12611
28/02/2022;202,83958;205,46146;191,9252;201,19281;5544
31/01/2022;215,86589;215,86589;197,12611;201,83588;13222
31/12/2021;212,62529;217,31837;208,87071;214,94531;5799
30/11/2021;216,49438;222,79208;208,88907;208,88907;9867
29/10/2021;216,31099;217,51509;205,87587;212,01161;8754
30/09/2021;210,63791;227,82324;210,37814;220,81902;15641
31/08/2021;205,89954;208,80052;202,63287;207,4066;6596
30/07/2021;209,0934;212,44153;202,74387;203,43324;12885
30/06/2021;206,98703;213,38959;205,89952;210,33113;6669
31/05/2021;211,86095;214,61491;200,66548;208,10901;7489
30/04/2021;218,2265;220,00598;211,20016;211,61597;14451
31/03/2021;220,79149;222,45267;212,17737;216,85547;36134
26/02/2021;213,16132;228,22221;212,98773;218,50734;12841
29/01/2021;206,46786;220,04655;204,56447;210,75082;23383
31/12/2020;203,63586;210,82294;199,13365;208,06418;9271
30/11/2020;183,89171;206,0477;183,58003;203,42787;19892
30/10/2020;180,20711;182,96114;178,70305;181,13493;11656
