Date;Open Price;High Price;Low Price;Last Price;IPXJ LN Equity (EUR) - Volume
29/03/2024;39,05702;39,91527;38,88582;39,82957;35552
29/02/2024;38,14035;39,34411;38,12195;39,07407;38802
31/01/2024;39,59456;39,59456;37,13997;38,70507;39250
29/12/2023;37,1531;39,7914;36,83284;39,65112;16984
30/11/2023;36,29805;37,2904;36,12719;36,86409;59657
31/10/2023;37,70617;37,98435;35,33052;35,60757;44935
29/09/2023;38,20475;38,5214;37,11524;37,80015;61708
31/08/2023;39,65549;39,65549;36,29609;38,00166;19250
31/07/2023;39,27263;40,33667;37,52279;40,0109;62862
30/06/2023;38,12268;40,52766;38,04833;39,01356;37891
31/05/2023;39,5;40,01826;38,11807;38,16037;73329
28/04/2023;40,68326;40,6964;39,19029;39,53404;59651
31/03/2023;41,01266;41,8378;38,91377;40,4499;68957
28/02/2023;42,86762;43,43203;40,68452;40,99566;24278
31/01/2023;40,72634;43,53428;40,52721;42,95904;78963
30/12/2022;41,53978;42,41168;39,96232;40,20633;143895
30/11/2022;38,76746;41,69656;38,2727;41,58022;24475
31/10/2022;39,44739;40,46436;37,16753;37,89319;63362
30/09/2022;41,93419;43,08862;38,53844;39,03473;26529
31/08/2022;42,41776;43,81763;42,01313;42,01313;50218
29/07/2022;39,89618;42,59204;39,89618;42,57135;49193
30/06/2022;42,97396;43,32306;38,97593;39,99332;50539
31/05/2022;43,29593;43,75416;40,68353;42,53168;99424
29/04/2022;44,84602;46,16089;42,19319;43,58233;164271
31/03/2022;41,54289;44,72021;40,75699;44,5407;217141
28/02/2022;40,45353;42,13399;39,93365;41,60643;119612
31/01/2022;42,78378;42,89888;39,64667;40,2264;68722
31/12/2021;41,32815;42,56739;40,74794;41,93307;78664
30/11/2021;42,72037;43,44545;40,66838;40,79215;108923
29/10/2021;40,95887;43,34599;40,95887;43,02366;25413
30/09/2021;42,64855;43,2651;40,41972;41,67315;78628
31/08/2021;42,79697;43,42867;42,06186;42,48327;62697
30/07/2021;42,97409;43,49152;41,66455;42,32229;120247
30/06/2021;42,53249;43,7458;42,53249;43,06271;87369
31/05/2021;42,58612;43,28892;41,34797;42,91042;120539
