Date;Open Price;High Price;Low Price;Last Price;HMXJ LN Equity (EUR) - Volume
17/04/2024;12,33191;12,33191;11,39655;11,79019;1320000
29/12/2023;12,59354;13,28488;10,96644;12,33157;3690000
30/12/2022;13,25555;14,01536;11,44519;12,52608;1980000
31/12/2021;11,9573;13,43137;11,82837;13,01077;3130000
31/12/2020;12,71167;13,21071;8,04077;11,90903;3820000
31/12/2019;10,69368;13,05141;10,69204;12,59684;842051
31/12/2018;12,01301;12,31171;10,53862;10,82943;722194
29/12/2017;11,45223;12,38888;11,15621;11,99183;2230000
30/12/2016;10,28437;11,50306;8,5358;11,27753;14770000
31/12/2015;10,76793;13,00487;8,95663;10,52913;12280000
31/12/2014;9,93193;11,468;9,20246;10,83588;18250000
31/12/2013;10,37778;11,25435;9,2983;9,9235;12530000
31/12/2012;8,87388;10,43022;8,74387;10,27048;6750000
30/12/2011;10,05715;10,26154;7,39799;8,74176;13890000
31/12/2010;9,11468;10,23802;9,0261;10,01995;4230000
