Date;Eurozone;US;China;Japan;UK;Australia
29/03/2024;0,02298000;0,04200000;0,02295000;0,00727000;0,03933000;0,03962000
29/02/2024;0,02411000;0,04250000;0,02353000;0,00709000;0,04124000;0,04135000
31/01/2024;0,02166000;0,03912000;0,02434000;0,00732000;0,03794000;0,04011000
29/12/2023;0,02024000;0,03879000;0,02561000;0,00614000;0,03537000;0,03955000
30/11/2023;0,02447000;0,04326000;0,02686000;0,00672000;0,04176000;0,04412000
31/10/2023;0,02806000;0,04931000;0,02693000;0,00947000;0,04512000;0,04925000
29/09/2023;0,02839000;0,04571000;0,02681000;0,00765000;0,04437000;0,04486000
31/08/2023;0,02466000;0,04108000;0,02581000;0,00651000;0,04360000;0,04026000
31/07/2023;0,02492000;0,03959000;0,02662000;0,00612000;0,04309000;0,04059000
30/06/2023;0,02392000;0,03837000;0,02641000;0,00401000;0,04388000;0,04024000
31/05/2023;0,02282000;0,03643000;0,02708000;0,00436000;0,04183000;0,03605000
28/04/2023;0,02313000;0,03422000;0,02780000;0,00394000;0,03719000;0,03336000
31/03/2023;0,02292000;0,03468000;0,02858000;0,00351000;0,03490000;0,03297000
28/02/2023;0,02651000;0,03920000;0,02915000;0,00505000;0,03826000;0,03851000
31/01/2023;0,02286000;0,03507000;0,02902000;0,00496000;0,03332000;0,03551000
30/12/2022;0,02571000;0,03875000;0,02839000;0,00422000;0,03672000;0,04050000
30/11/2022;0,01930000;0,03605000;0,02922000;0,00253000;0,03161000;0,03529000
31/10/2022;0,02142000;0,04048000;0,02648000;0,00248000;0,03516000;0,03755000
30/09/2022;0,02108000;0,03829000;0,02750000;0,00244000;0,04093000;0,03885000
31/08/2022;0,01541000;0,03193000;0,02644000;0,00226000;0,02801000;0,03595000
29/07/2022;0,00817000;0,02649000;0,02765000;0,00185000;0,01864000;0,03056000
30/06/2022;0,01336000;0,03013000;0,02816000;0,00231000;0,02229000;0,03660000
31/05/2022;0,01122000;0,02844000;0,02797000;0,00243000;0,02101000;0,03351000
29/04/2022;0,00938000;0,02934000;0,02839000;0,00230000;0,01905000;0,03125000
31/03/2022;0,00548000;0,02338000;0,02787000;0,00220000;0,01610000;0,02840000
28/02/2022;0,00135000;0,01825000;0,02790000;0,00192000;0,01410000;0,02138000
31/01/2022;0,00011000;0,01777000;0,02711000;0,00178000;0,01302000;0,01895000
31/12/2021;-0,00177000;0,01510000;0,02779000;0,00071000;0,00971000;0,01670000
30/11/2021;-0,00349000;0,01444000;0,02862000;0,00057000;0,00809000;0,01690000
29/10/2021;-0,00106000;0,01552000;0,02970000;0,00099000;0,01034000;0,02088000
30/09/2021;-0,00199000;0,01487000;0,02877000;0,00072000;0,01022000;0,01490000
31/08/2021;-0,00383000;0,01309000;0,02848000;0,00025000;0,00714000;0,01155000
30/07/2021;-0,00461000;0,01222000;0,02855000;0,00022000;0,00565000;0,01181000
30/06/2021;-0,00207000;0,01468000;0,03093000;0,00058000;0,00716000;0,01530000
31/05/2021;-0,00187000;0,01594000;0,03074000;0,00087000;0,00795000;0,01711000
30/04/2021;-0,00202000;0,01626000;0,03156000;0,00097000;0,00842000;0,01746000
31/03/2021;-0,00292000;0,01740000;0,03188000;0,00095000;0,00845000;0,01786000
26/02/2021;-0,00260000;0,01405000;0,03279000;0,00162000;0,00820000;0,01917000
29/01/2021;-0,00518000;0,01065000;0,03185000;0,00054000;0,00327000;0,01133000
31/12/2020;-0,00569000;0,00913000;0,03146000;0,00021000;0,00197000;0,00970000
30/11/2020;-0,00571000;0,00839000;0,03273000;0,00032000;0,00305000;0,00896000
30/10/2020;-0,00627000;0,00874000;0,03185000;0,00042000;0,00262000;0,00828000
30/09/2020;-0,00522000;0,00684000;0,03148000;0,00016000;0,00229000;0,00787000
31/08/2020;-0,00397000;0,00705000;0,03024000;0,00051000;0,00311000;0,00982000
31/07/2020;-0,00524000;0,00528000;0,02976000;0,00020000;0,00104000;0,00815000
30/06/2020;-0,00454000;0,00656000;0,02851000;0,00028000;0,00172000;0,00870000
29/05/2020;-0,00447000;0,00653000;0,02693000;0,00005000;0,00184000;0,00885000
30/04/2020;-0,00586000;0,00639000;0,02516000;-0,00030000;0,00231000;0,00891000
