Date;Open Price;High Price;Low Price;Last Price;SR2000 GR Equity (EUR) - Volume
29/03/2024;94,65;98,93;92,47;98,17;
29/02/2024;90,18;95,58;88,94;94,9;4
31/01/2024;92,43;92,73;87,03;89,91;1238
29/12/2023;82,75;93,25;82,53;92,79;1502
30/11/2023;78,08;83,88;77,78;82,58;280
31/10/2023;83,98;84,36;76,6;77,92;192
29/09/2023;86,93;88,56;82,64;83,71;360
31/08/2023;90,07;90,5;83,77;86,88;206
31/07/2023;85,6;90,1;83;90,1;2015
30/06/2023;80,58;87,67;80,4;85,71;4163
31/05/2023;79,4;83,43;76,3;80,96;268
28/04/2023;82,23;82,29;77,21;79,16;802
31/03/2023;88,32;89,66;77,61;81,96;1882
28/02/2023;87,27;91,2;86,64;88,6;578
31/01/2023;80,96;87,39;80,96;87,39;
30/12/2022;89,03;89,4;79,57;80,81;1016
30/11/2022;91,87;92,62;86,26;88,78;1793
31/10/2022;83,22;92,22;83,22;91,81;1413
30/09/2022;89,52;92,81;83,19;83,55;
31/08/2022;89,65;97,94;89,01;90,13;5921
29/07/2022;78,74;90,64;78,71;90,4;2235
30/06/2022;84,96;87,65;76,07;79,34;1776
31/05/2022;87,25;89,86;78,97;85;1177
29/04/2022;90,99;93,61;86,1;86,1;
31/03/2022;89,13;94,05;85,22;91,4;55
28/02/2022;87,58;89,38;80,76;89,14;580
31/01/2022;96,63;98,78;83,16;87,92;4329
31/12/2021;95,44;98,56;91,03;96,84;646
30/11/2021;97,02;103,68;93,87;94,59;570
29/10/2021;92,27;97,68;91,42;96,85;137
30/09/2021;94,42;95,49;89,29;92,92;44
31/08/2021;91,73;94,42;88;93,7;86
30/07/2021;95,04;96,08;86,77;91,22;450
30/06/2021;90,3;95,79;89,91;94,86;1155
31/05/2021;91,61;92,49;85,32;89,97;736
30/04/2021;91,99;93,7;87,45;91,62;1220
31/03/2021;89,5;96,5;85,09;92,08;758
26/02/2021;83,43;92,76;82,04;88,46;1656
