Date;Open Price;High Price;Low Price;Last Price;RUSG LN Equity (EUR) - Volume
29/03/2024;382,3584;392,8188;374,3897;389,158;56890
29/02/2024;358,1256;383,7875;355,3849;380,875;46441
31/01/2024;347,9134;368,7241;334,3092;359,7373;67863
29/12/2023;333,1649;347,0798;330,9318;343,5647;36423
30/11/2023;311,514;335,4667;308,4101;331,2167;40975
31/10/2023;317,8568;327,14;303,5151;306,7234;48832
29/09/2023;327,5222;328,6673;310,5418;314,7759;37099
31/08/2023;324,7357;327,2996;303,688;324,0982;54285
31/07/2023;314,0345;322,7935;304,526;320,5233;52971
30/06/2023;296,3848;314,0685;295,5855;311,623;29239
31/05/2023;279,0818;303,4232;272,1089;301,2455;48473
28/04/2023;277,1696;280,7918;269,885;275,9133;29454
31/03/2023;268,1388;278,0247;256,2861;278,0247;17744
28/02/2023;260,9278;279,9962;260,9278;269,9038;17377
31/01/2023;252,2283;264,7649;244,4068;262,798;17863
30/12/2022;273,1728;275,9802;245,235;247,6893;12344
30/11/2022;278,5165;282,5541;257,1034;268,7494;33981
31/10/2022;266,874;282,917;258,2916;279,7512;22462
30/09/2022;288,9101;303,0406;269,8264;272,9724;34515
31/08/2022;294,1114;317,0192;288,8204;289,1187;29763
29/07/2022;257,1332;295,4791;257,1332;292,8018;31252
30/06/2022;277,3569;279,5845;245,4924;257,7793;51671
31/05/2022;290,8996;297,6881;252,0455;272,2838;107308
29/04/2022;314,2572;322,4574;286,7849;292,6439;87411
31/03/2022;298,8568;316,3843;275,9371;313,734;37644
28/02/2022;306,5807;311,5286;271,3262;295,0959;65876
31/01/2022;337,6217;340,6145;282,2034;303,3871;116863
31/12/2021;325,468;337,4017;314,9238;332,013;39730
30/11/2021;314,9646;342,2564;314,9646;327,3893;38740
29/10/2021;290,8166;316,2926;285,9282;316,0586;28459
30/09/2021;303,7812;305,3603;292,3301;294,3307;22033
31/08/2021;294,4903;306,6147;289,24;303,1337;16808
30/07/2021;284,4375;297,0708;281,3374;290,9099;19789
30/06/2021;257,6228;284,8173;255,0777;282,2601;16195
31/05/2021;264,6198;265,119;246,6465;258,7001;20000
30/04/2021;257,36;269,8606;255,4574;265,6855;18744
31/03/2021;247,5293;255,5658;235,1075;254,8468;19131
26/02/2021;246,0646;262,0889;240,9354;243,5886;28906
29/01/2021;243,4587;252,8942;234,5719;243,5954;15655
31/12/2020;237,4761;243,8082;232,6401;241,6033;38315
30/11/2020;222,1792;246,8314;221,7506;234,6118;49858
30/10/2020;228,2673;241,4827;219,5861;221,8015;25211
30/09/2020;235,6209;241,6293;214,2322;228,5915;45381
31/08/2020;216,8355;235,1403;214,5289;233,266;14862
31/07/2020;209,011;222,968;206,6953;213,1711;46768
30/06/2020;203,3693;210,8639;194,9491;207,1956;19093
29/05/2020;188,1689;207,1246;185,1651;201,2345;8441
30/04/2020;161,9863;194,2847;161,9863;192,6671;5367
31/03/2020;184,3113;191,6211;119,8378;171,5249;33608
28/02/2020;199,6564;217,3724;190,8917;190,8917;33624
31/01/2020;193,59;205,0694;192,2829;198,3804;12109
31/12/2019;188,9481;193,2785;183,18;190,4043;3137
29/11/2019;179,5735;189,4849;179,5735;188,7346;34225
31/10/2019;176,7051;179,5622;171,8379;178,5349;411
30/09/2019;175,9523;178,9543;174,4226;177,5887;1297
30/08/2019;179,5085;179,5085;167,077;175,769;5679
31/07/2019;171,051;178,7089;171,051;178,2126;5507
28/06/2019;159,0808;171,0651;159,0808;168,624;2903
31/05/2019;170,6725;170,7395;161,3286;161,3286;2706
30/04/2019;164,0639;171,7243;164,0371;169,4838;5112
29/03/2019;157,3163;163,0514;155,4715;162,7841;4206
28/02/2019;150,2964;158,2702;150,2964;156,563;4661
31/01/2019;138,9766;150,4978;135,9417;150,2402;6900
31/12/2018;154,1487;154,527;131,1043;138,0108;5065
30/11/2018;151,3364;156,4908;142,479;151,5952;3874
31/10/2018;163,8041;164,9588;146,1803;152,3793;8554
28/09/2018;162,004;162,2998;157,729;162,2998;7089
31/08/2018;151,7912;161,2505;151,7912;161,2505;10756
31/07/2018;148,0345;155,7575;147,6758;152,3708;13224
29/06/2018;146,8753;152,7267;146,8753;148,8182;8725
31/05/2018;135,8575;147,5143;135,0767;146,9968;12398
30/04/2018;129,7139;136,6127;129,6894;136,6127;5554
30/03/2018;137,1684;140,7251;129,8275;132,1536;7064
28/02/2018;138,7691;139,6146;128,214;138,7583;12737
31/01/2018;134,3628;140,8469;134,3628;138,9086;3694
29/12/2017;132,0889;138,6671;132,0889;135,0566;6702
30/11/2017;134,0729;135,1389;131,7088;133,7146;24129
31/10/2017;126,6116;133,2873;126,6116;132,9756;34628
29/09/2017;123,7898;126,3069;121,6863;126,1078;57252
31/08/2017;123,3545;124,6112;120,3146;123,525;8912
31/07/2017;125,1299;126,3773;121,8779;122,479;52230
30/06/2017;126,9135;129,1473;122,8687;123,4031;18678
31/05/2017;127,517;129,1564;122,4497;125,3938;328454
28/04/2017;125,7387;127,1902;123,9914;126,1581;44539
31/03/2017;127,5558;128,8692;122,0979;125,9699;20255
28/02/2017;118,3577;126,9045;117,8783;125,7966;1500000
31/01/2017;120,0729;121,456;117,153;117,9989;19749
30/12/2016;113,8918;121,5813;112,0656;118,1379;53258
30/11/2016;107,349;117,2714;104,4265;115,7609;125932
31/10/2016;109,6006;112,3129;107,5906;109,1535;17230
30/09/2016;108,5149;110,292;105,8086;109,0711;4537
31/08/2016;110,9748;111,1682;107,8357;109,0876;1160000
29/07/2016;105,594;111,8049;103,9239;109,6307;61684
30/06/2016;105,034;105,3155;101,0192;104,9174;2056
31/05/2016;104,6066;105,7197;99,4361;105,2743;9108
29/04/2016;102,4491;105,9253;100,3365;100,3365;11306
31/03/2016;101,9663;102,9775;99,1201;102,469;53871
29/02/2016;99,9862;100,6499;89,669;100,1471;21755
29/01/2016;103,9749;105,616;94,4795;99,276;6048
31/12/2015;110,1074;113,0279;102,8007;107,4283;5562
30/11/2015;105,0903;112,283;105,0903;111,34;4835
30/10/2015;95,7128;107,8417;95,419;106,6936;27856
30/09/2015;95,1114;100,2096;93,2688;95,8907;29069
31/08/2015;108,2383;108,9488;92,6707;99,2534;21253
31/07/2015;102,3339;109,8976;101,7968;107,3798;24154
30/06/2015;106,1819;106,1819;100,7711;101,6274;11400
29/05/2015;103,212;107,7036;100,568;105,6366;63188
30/04/2015;106,1039;110,1303;102,8982;102,8982;5707
31/03/2015;102,1739;108,9986;102,1739;106,9025;18563
27/02/2015;95,5572;103,8142;95,5191;103,0996;158541
30/01/2015;91,0866;98,3341;89,7626;96,3058;11000
31/12/2014;87,9462;91,7146;85,2896;90,9805;
28/11/2014;86,2275;89,3567;85,1535;89,3567;18
31/10/2014;82,4768;85,5957;76,3271;85,5957;3371
30/09/2014;80,9002;83,4864;80,8386;83,4864;
29/08/2014;75,5379;80,814;75,4882;80,814;
31/07/2014;76,0171;78,1523;75,689;76,4214;68
