Date;Open Price;High Price;Low Price;Last Price;SXR8 GY Equity (EUR) - Volume
29/03/2024;496,15;512,24;490,02;511,5;485603
29/02/2024;472,84;496,12;469,86;493,42;537339
31/01/2024;454,88;478,03;448,94;472,53;729440
29/12/2023;439,2;456,9;438,62;454,04;539449
30/11/2023;414,56;439,66;413,86;436,81;493324
31/10/2023;425,82;434,8;407,19;413,18;606673
29/09/2023;434,39;442,98;422,8;426,27;478827
31/08/2023;435,62;436,41;416,85;435,42;578261
31/07/2023;425,77;436,76;416,55;433,51;385336
30/06/2023;408,11;424,49;404,72;423,88;652375
31/05/2023;394,13;411,46;381,49;406,91;452127
28/04/2023;393,75;395,67;381,5;390,89;493352
31/03/2023;387,88;395,98;369,23;390,24;725217
28/02/2023;387,23;402,44;384,24;389,13;509376
31/01/2023;375,8;388,26;372,15;385,49;652097
30/12/2022;404,94;405,06;368,4;370,73;598072
30/11/2022;405,14;406,75;387,09;396,38;800964
31/10/2022;378,12;406,52;372,9;404,46;961149
30/09/2022;404,49;422;382;385,46;693605
31/08/2022;413,79;436,29;406,82;407,73;751212
29/07/2022;368,1;416,6;367,82;413,1;632354
30/06/2022;396,38;399,62;357,17;371,19;847802
31/05/2022;403,81;415,2;370,52;394,52;851933
29/04/2022;421,22;428,64;402,45;410,92;773388
31/03/2022;400,25;428,24;385,1;423,48;889413
28/02/2022;409,21;414,92;375,37;399,22;812649
31/01/2022;430,79;436;386,1;407;1230000
31/12/2021;414,26;434,41;405,35;432,63;727349
30/11/2021;406,44;430,08;404,32;415,02;3010000
29/10/2021;375,45;405,41;375,27;405,04;552350
30/09/2021;391,09;391,57;377,46;382,94;538556
31/08/2021;378,24;391,14;374,3;390,51;424646
30/07/2021;368,85;380,67;364,44;376,59;1720000
30/06/2021;349,3;368,18;347,03;368;526892
31/05/2021;353,34;354,42;336,9;348,16;539342
30/04/2021;344,01;353,81;343,6;352,3;504391
31/03/2021;322,93;343,51;317;343,51;658854
26/02/2021;311,47;329,87;311,1;321,12;606664
29/01/2021;310,36;321,89;302,75;310,56;464019
31/12/2020;307,68;309,82;299,5;307,39;440199
30/11/2020;283,81;311,25;283,58;303,94;671243
30/10/2020;290,02;302,78;279,5;281,99;654932
30/09/2020;294,52;305,98;276,81;289,26;604253
31/08/2020;279,1;298,13;278;294,28;343706
31/07/2020;276,55;287,45;272,64;275,22;564617
30/06/2020;274,65;286,57;262,2;274,05;1060000
29/05/2020;257,11;277,55;255,32;271,24;1090000
30/04/2020;228,1;272,12;224,1;265,96;935848
31/03/2020;271,25;281;203,44;239,62;1990000
28/02/2020;291,7;312,96;259,46;264,5;1010000
31/01/2020;287,52;300,76;285,3;290,95;795810
31/12/2019;284,07;290,39;275,02;287,81;336903
29/11/2019;270,33;284,61;270,04;283,45;958683
31/10/2019;272,16;272,16;260,53;269,17;558331
30/09/2019;262,52;272,48;260,62;270,53;508421
30/08/2019;266,12;268,77;248,24;262,92;1010000
31/07/2019;259,23;268,66;258,04;267,23;452893
28/06/2019;241,55;258,26;240,07;254,15;492064
31/05/2019;257,03;258,41;242,78;244,44;1080000
30/04/2019;249,27;259,55;249,09;257,25;468114
29/03/2019;241,25;247,59;237,75;247,39;699570
28/02/2019;231,59;243,17;230,25;240,4;357842
31/01/2019;211,46;230,71;209,6;230,63;592965
31/12/2018;241,54;241,93;206,59;214;760406
30/11/2018;232,68;241,35;224,92;236,15;835892
31/10/2018;246,11;247,28;225,15;233,99;785018
28/09/2018;243,46;244,91;239,95;244,57;545988
31/08/2018;234,34;243,5;233,35;242,8;656348
31/07/2018;225,07;237,59;224,88;233,68;573011
29/06/2018;225,18;233,51;224,65;227,62;961534
31/05/2018;213,75;227,03;209,95;225,54;818521
30/04/2018;202,94;214,77;201,37;214,21;474371
30/03/2018;215,2;219,34;202,05;206,64;898449
28/02/2018;219,93;219,95;200,5;216,77;1010000
31/01/2018;214,3;223,75;213,31;219,03;651707
29/12/2017;213,21;219,83;210,72;216,27;345958
30/11/2017;212,62;215,2;207,83;213,15;423370
31/10/2017;205,34;213,6;205,34;212,01;430403
29/09/2017;199,26;204,89;195;204,01;241194
31/08/2017;200,38;202,45;192,28;198,78;385983
31/07/2017;203,39;206,06;200,11;200,36;267955
30/06/2017;204,63;209,89;202,29;202,82;456973
31/05/2017;208,58;210,09;200,85;204,12;422745
28/04/2017;210,72;212,33;206,9;208,12;443401
31/03/2017;213,7;216,5;202,63;210,51;601313
28/02/2017;200,65;213,58;198,88;211,63;364057
31/01/2017;201;207;199,01;199,01;989188
30/12/2016;195,61;207,48;193,07;202,74;1010000
30/11/2016;183,19;197,91;176,82;197,57;863623
31/10/2016;182,4;186,81;180,38;183,46;312973
30/09/2016;183,79;184,15;176,32;181,97;309132
31/08/2016;183,43;185,32;180,02;182,95;281658
29/07/2016;177,27;186,27;175,65;182,84;281787
30/06/2016;176,41;177,16;170,11;176,12;528497
31/05/2016;168,88;177,3;166,2;176,45;425512
29/04/2016;168,46;174,44;166,69;167,73;618339
31/03/2016;166,21;173,2;164,92;169,32;637704
29/02/2016;165,8;168;148,5;168;613489
29/01/2016;171,89;175,13;155,79;165;537320
31/12/2015;183,73;185,25;167,63;176,56;372904
30/11/2015;173,97;184,1;173,6;182,97;209650
30/10/2015;160,91;177,47;155,08;175,49;332991
30/09/2015;159,53;165,14;153,85;158,57;245621
31/08/2015;176,71;179,4;136;163,05;525672
31/07/2015;171,73;181,53;170,71;176,42;420307
30/06/2015;177,64;178,4;168,82;170,66;454714
29/05/2015;173,89;179,71;166,45;176,72;282973
30/04/2015;175,27;183,08;171,26;172,33;514521
