Date;Open Price;High Price;Low Price;Last Price;UBU5 GY Equity (EUR) - Volume
29/03/2024;94,79;99,38;94,58;99,38;90065
29/02/2024;91,99;94,86;91,45;94,71;214598
31/01/2024;90,7;93,83;90,06;93,15;456133
29/12/2023;86,8;90,66;86,73;90,45;28022
30/11/2023;83,38;86,32;83,32;86,32;39192
31/10/2023;86,29;86,77;81,92;83,07;110903
29/09/2023;87,01;89,12;86,24;86,37;54924
31/08/2023;89,06;89,18;85,29;87,27;90348
31/07/2023;86,71;89,27;84,32;88,63;97581
30/06/2023;83,54;86,66;82,79;86,29;151835
31/05/2023;84,42;84,72;81,21;83,27;115587
28/04/2023;84,8;85,48;82,36;83,94;190254
31/03/2023;86,97;88,2;80,73;83,96;95047
28/02/2023;87,81;89,58;87,04;87,32;217996
31/01/2023;88,42;90,07;86,5;88,17;204043
30/12/2022;93,67;93,67;86,47;87,58;37827
30/11/2022;93,01;93,36;90,09;92,25;243773
31/10/2022;84,9;93,32;84,74;92,97;128547
30/09/2022;89,81;92,5;85,5;85,9;295005
31/08/2022;90,81;95,04;89,8;90,24;387987
29/07/2022;84;91,7;84;91,38;378798
30/06/2022;90,35;90,69;81,72;84,65;354361
31/05/2022;90,49;92,58;86,06;90;388316
29/04/2022;90,65;94,48;89,95;91,86;203894
31/03/2022;86,89;92,06;86,05;91,17;268144
28/02/2022;87,82;89,04;83,05;86,6;94234
31/01/2022;90,45;92,04;85,25;88,24;196498
31/12/2021;85,54;90,8;84,31;90,58;92158
30/11/2021;85,42;89,3;85,13;85,75;296052
29/10/2021;79,95;85,76;79,95;85,47;131507
30/09/2021;82,32;82,43;79,5;81,43;187214
31/08/2021;80,45;82,65;79,94;82,25;103683
30/07/2021;80,1;81,28;78,51;80,93;191162
30/06/2021;78,3;79,89;77,6;79,83;215936
31/05/2021;77,89;79,92;76,28;78,17;190455
30/04/2021;76,96;77,64;76,35;77,48;191267
31/03/2021;70,61;77,46;70,61;76,9;477692
26/02/2021;66,96;71,45;66,94;70,26;142842
29/01/2021;67,62;70,5;66,17;67,57;135223
31/12/2020;67,59;68,02;65,5;66,47;67576
