Date;Open Price;High Price;Low Price;Last Price;SXRM GY Equity (EUR) - Volume
29/03/2024;129,52113;131,27084;128,68709;131,22916;28638
29/02/2024;132,02888;133,75835;128,87759;130,28241;26902
31/01/2024;130,56798;132,14746;129,27097;132,1106;20255
29/12/2023;127,17791;131,18698;126,98493;129,66377;7458
30/11/2023;125,49122;127,64463;124,0504;127,03857;28791
31/10/2023;128,17714;128,36288;122,99578;125,32861;28715
29/09/2023;128,87611;129,46286;126,8422;127,50993;7724
31/08/2023;127,68866;128,35132;125,00453;128,35132;23603
31/07/2023;128,96666;129,43098;125,57941;127,30535;6616
30/06/2023;132,3513;133,68347;128,47133;129,16286;10309
31/05/2023;130,65454;134,2195;130,65454;134,02425;21513
28/04/2023;131,48131;134,20207;129,8696;131,23016;13470
31/03/2023;129,41866;136,78603;128,95453;131,82906;33226
28/02/2023;131,16521;133,4411;129,67038;130,31775;17832
31/01/2023;129,66888;133,80177;129,66888;131,50943;18572
30/12/2022;133,79807;135,3204;129,32033;129,32033;11160
30/11/2022;137,80611;138,26149;132,57831;134,62433;29519
31/10/2022;140,26305;142,39397;134,21001;137,21048;21309
30/09/2022;144,64627;144,83244;139,33209;141,18999;16025
31/08/2022;146,06775;148,78862;143,36398;143,98747;23403
29/07/2022;140,4153;147,68655;140,34801;147,31294;18730
30/06/2022;137,9359;138,79138;132,63257;138,77229;12885
31/05/2022;138,41469;141,89998;135,23738;136,79649;13288
29/04/2022;137,35054;139,922;134,15253;138,35434;20022
31/03/2022;142,67711;147,54483;135,47383;137,5564;18913
28/02/2022;141,54735;142,03645;136,17096;141,1602;35938
31/01/2022;144,32825;144,32825;139,10796;141,80853;8704
31/12/2021;144,07895;145,89685;143,08308;143,77376;12210
30/11/2021;139,48595;144,82362;139,27893;144,24013;13667
29/10/2021;140,48892;140,81694;137,83958;140,0858;9644
30/09/2021;139,24713;140,77422;138,62811;140,1521;5464
31/08/2021;139,64195;142,01317;139,40678;139,85771;8270
30/07/2021;137,03688;141,32706;136,91029;139,81786;33919
30/06/2021;131,33328;137,33649;131,12483;137,33649;6728
31/05/2021;132,83;133,9128;130,94205;131,54236;16818
30/04/2021;134,75749;135,24165;131,81218;133,09636;15962
31/03/2021;134,77701;136,16985;132,86948;135,14043;17361
26/02/2021;137,82933;138,56702;132,56775;133,26573;9022
29/01/2021;136,94606;137,96005;135,43378;137,19914;9776
31/12/2020;140,09962;140,09962;136,44724;136,51233;5678
30/11/2020;144,67664;144,91743;140,82964;141,05321;5294
